         2965999 function calls (2961950 primitive calls) in 8.885 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.013    0.013 feedparser.py:20(<module>)
        1    0.000    0.000    0.003    0.003 random.py:40(<module>)
      239    0.000    0.000    0.006    0.000 __init__.py:1489(get_metadata_lines)
       99    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
       27    0.000    0.000    0.002    0.000 pyparsing.py:1016(_trim_arity)
        1    0.000    0.000    0.002    0.002 ssl.py:89(<module>)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
      201    0.000    0.000    0.000    0.000 __init__.py:750(__iter__)
    106/2    0.000    0.000    0.001    0.000 pyparsing.py:1347(_parseNoCache)
       27    0.000    0.000    0.020    0.001 pyparsing.py:2738(__init__)
      471    0.000    0.000    0.000    0.000 copy_reg.py:92(__newobj__)
      291    0.000    0.000    0.001    0.000 {all}
       70    0.000    0.000    0.000    0.000 __init__.py:1886(_warn_on_replacement)
     10/8    0.000    0.000    0.069    0.009 __init__.py:35(load_module)
       10    0.000    0.000    0.000    0.000 {dir}
      485    0.000    0.000    0.000    0.000 urlparse.py:332(<genexpr>)
        1    0.000    0.000    0.001    0.001 io.py:34(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
       70    0.000    0.000    0.007    0.000 __init__.py:1894(get_metadata_lines)
    24/19    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
      181    0.000    0.000    0.000    0.000 sre_parse.py:75(opengroup)
     1494    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.013    0.013 pyparsing.py:5353(pyparsing_common)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
      420    0.000    0.000    0.000    0.000 {method 'startswith' of 'unicode' objects}
        2    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.001    0.001 fftpack.py:32(<module>)
      599    0.000    0.000    0.000    0.000 collections.py:349(<genexpr>)
       51    0.000    0.000    0.000    0.000 _internal.py:703(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.005    0.005 version.py:4(<module>)
      134    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
        1    0.000    0.000    0.011    0.011 charset.py:6(<module>)
        2    0.000    0.000    0.001    0.000 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
        1    0.000    0.000    0.012    0.012 message.py:5(<module>)
      611    0.000    0.000    0.000    0.000 pkgutil.py:170(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
        1    0.000    0.000    0.001    0.001 zipfile.py:3(<module>)
      420    0.000    0.000    0.000    0.000 __init__.py:1918(__init__)
       57    0.000    0.000    0.000    0.000 sre_parse.py:228(isname)
      132    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       49    0.000    0.000    0.000    0.000 pyparsing.py:2785(__str__)
      198    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
        1    0.000    0.000    0.033    0.033 add_newdocs.py:10(<module>)
